children;days_employed;dob_years;education;education_id;family_status;family_status_id;gender;income_type;debt;total_income;purpose
1;-8184.542836927426;43;высшее;1;женат / замужем;0;Ж;сотрудник;0;246259.37026902073;недвижимость
1;-3904.0596412349373;37;среднее;2;женат / замужем;0;Ж;сотрудник;0;108717.61367936878;автомобиль
0;-5454.719931924027;34;Среднее;2;женат / замужем;0;М;сотрудник;0;141509.37372795786;недвижимость
3;-4001.004790343817;33;среднее;2;женат / замужем;0;М;сотрудник;0;259599.69381953176;образование
0;330058.08988541726;54;среднее;2;гражданский брак;1;Ж;пенсионер;0;153857.59553396105;свадьба
0;-898.4002559525509;28;высшее;1;гражданский брак;1;М;компаньон;0;248090.65845647838;недвижимость
0;-2792.825990575753;44;высшее;1;женат / замужем;0;Ж;компаньон;0;233310.1927626969;недвижимость
0;-148.19618210001238;51;СРЕДНЕЕ;2;женат / замужем;0;М;сотрудник;0;131749.21617136133;образование
2;-6721.969340004529;36;ВЫСШЕЕ;1;гражданский брак;1;Ж;сотрудник;0;92981.1274511478;свадьба
0;-2123.0937517255998;42;среднее;2;женат / замужем;0;М;сотрудник;0;140093.16012877383;недвижимость
2;-4046.339137496206;37;высшее;1;женат / замужем;0;М;компаньон;0;110525.18671649517;недвижимость
0;-768.9208304491036;41;среднее;2;женат / замужем;0;Ж;сотрудник;0;74757.15724317006;недвижимость
0;;66;среднее;2;гражданский брак;1;М;пенсионер;0;;свадьба
0;-1791.2426828243913;55;неоконченное высшее;3;женат / замужем;0;Ж;сотрудник;0;126544.4819912491;автомобиль
0;-1789.6074967219276;57;высшее;1;гражданский брак;1;Ж;компаньон;1;160174.0744190151;недвижимость
1;-943.193486420371;27;среднее;2;женат / замужем;0;Ж;сотрудник;0;113316.27731643582;недвижимость
0;-1668.3361993684625;36;среднее;2;женат / замужем;0;Ж;сотрудник;0;280526.62310232944;недвижимость
0;-2298.899728602738;34;высшее;1;гражданский брак;1;М;сотрудник;0;87698.26914232493;недвижимость
0;388272.702805182;54;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;55119.06392588829;автомобиль
0;-9737.6539924484;49;СРЕДНЕЕ;2;в разводе;3;Ж;сотрудник;0;235546.17474231884;автомобиль
1;-1272.25604143608;37;среднее;2;женат / замужем;0;М;сотрудник;0;203266.0652402871;недвижимость
1;-246.0746108105042;34;среднее;2;гражданский брак;1;Ж;сотрудник;0;127857.8377916699;автомобиль
1;-1713.6448135510595;25;среднее;2;гражданский брак;1;Ж;сотрудник;0;145190.70650923383;автомобиль
0;-264.7919434824023;22;высшее;1;гражданский брак;1;М;сотрудник;0;124417.7492448722;свадьба
1;328395.39432402805;58;среднее;2;Не женат / не замужем;4;Ж;пенсионер;0;281830.81891757005;недвижимость
0;352642.03466794384;68;среднее;2;женат / замужем;0;М;пенсионер;0;53459.37499976768;недвижимость
0;;42;среднее;2;женат / замужем;0;М;госслужащий;0;;образование
0;-513.3158856196409;29;высшее;1;женат / замужем;0;М;сотрудник;0;299583.5141798528;недвижимость
1;-695.7560942236165;27;высшее;1;женат / замужем;0;Ж;сотрудник;0;182227.34018678006;недвижимость
0;;64;среднее;2;Не женат / не замужем;4;Ж;пенсионер;0;;недвижимость
1;325514.218459526;63;среднее;2;женат / замужем;0;Ж;пенсионер;0;166312.38595358582;недвижимость
0;-1631.6209349422074;48;начальное;4;женат / замужем;0;Ж;сотрудник;0;267221.1140019153;недвижимость
0;-4510.413506776755;35;СРЕДНЕЕ;2;гражданский брак;1;Ж;сотрудник;1;134885.74028125545;свадьба
0;-1502.1784173312462;49;среднее;2;женат / замужем;0;Ж;компаньон;0;152528.41264556473;недвижимость
0;-4353.42502033875;36;среднее;2;женат / замужем;0;Ж;сотрудник;0;101520.63572655253;недвижимость
0;382200.44001828134;69;среднее;2;гражданский брак;1;М;пенсионер;0;75471.50711333024;свадьба
0;-170.9301876870079;34;среднее;2;Не женат / не замужем;4;М;сотрудник;0;134665.73121204978;автомобиль
0;-6255.346533885918;44;ВЫСШЕЕ;1;гражданский брак;1;Ж;компаньон;0;149505.0123114958;автомобиль
0;-579.9453724859559;26;высшее;1;Не женат / не замужем;4;М;сотрудник;1;186479.8796801374;образование
0;-631.0701625105788;32;высшее;1;гражданский брак;1;Ж;компаньон;0;731613.5733304819;образование
0;-999.4517274334213;31;среднее;2;Не женат / не замужем;4;М;компаньон;0;138579.61177150617;недвижимость
0;;51;среднее;2;женат / замужем;0;Ж;госслужащий;0;;автомобиль
0;-1219.7713044926463;21;неоконченное высшее;3;Не женат / не замужем;4;Ж;сотрудник;0;79603.1363504598;образование
0;-4244.41094282971;44;неоконченное высшее;3;в разводе;3;Ж;компаньон;0;264768.41950326174;автомобиль
1;-1321.1804756752315;27;СРЕДНЕЕ;2;женат / замужем;0;Ж;сотрудник;0;97757.08184624676;автомобиль
1;-1008.2681883593298;50;среднее;2;Не женат / не замужем;4;Ж;сотрудник;0;103194.34213189533;образование
2;-2194.8309344859917;38;среднее;2;женат / замужем;0;Ж;компаньон;0;177201.9861014767;автомобиль
1;-2608.463155977176;34;высшее;1;гражданский брак;1;М;госслужащий;0;345589.57206511236;свадьба
0;-3240.8358497692616;46;среднее;2;женат / замужем;0;Ж;сотрудник;0;157203.5509564869;недвижимость
0;-1145.9999314246247;55;среднее;2;женат / замужем;0;Ж;сотрудник;0;43254.0526809102;автомобиль
0;343119.4893681492;64;среднее;2;женат / замужем;0;Ж;пенсионер;0;89572.44869334593;автомобиль
1;-6745.022704926259;51;высшее;1;гражданский брак;1;Ж;сотрудник;0;197103.69306170894;свадьба
1;-3448.0313799805676;29;среднее;2;женат / замужем;0;Ж;сотрудник;0;51164.0296539761;образование
0;-4093.2868840398082;62;СРЕДНЕЕ;2;в разводе;3;Ж;компаньон;0;302109.99154372443;недвижимость
0;-3375.670608990513;28;высшее;1;гражданский брак;1;Ж;сотрудник;0;89471.64871771785;автомобиль
0;;55;среднее;2;гражданский брак;1;Ж;пенсионер;1;;свадьба
0;359040.7346200651;65;среднее;2;вдовец / вдова;2;Ж;пенсионер;0;144666.8122266945;образование
0;-2352.065456469852;45;среднее;2;вдовец / вдова;2;Ж;сотрудник;0;56857.91378124097;образование
0;-325.259071472759;37;высшее;1;женат / замужем;0;М;сотрудник;0;401972.0768103591;недвижимость
0;-4211.533172147741;54;среднее;2;гражданский брак;1;Ж;компаньон;0;253528.42129051994;недвижимость
1;-2458.428518617513;49;среднее;2;женат / замужем;0;М;сотрудник;0;126005.21522338215;образование
0;-2896.6160566777494;43;среднее;2;гражданский брак;1;Ж;сотрудник;0;168767.84874121545;недвижимость
0;-7610.279756418265;49;Высшее;1;Не женат / не замужем;4;М;госслужащий;0;422326.5494143154;образование
0;-1147.071311415919;46;среднее;2;женат / замужем;0;Ж;сотрудник;0;106704.22902700046;недвижимость
0;-115.32466908176589;36;неоконченное высшее;3;Не женат / не замужем;4;М;сотрудник;0;274413.45716840826;автомобиль
0;;22;среднее;2;Не женат / не замужем;4;М;компаньон;0;;недвижимость
0;-888.9359643780879;29;среднее;2;женат / замужем;0;М;сотрудник;0;140858.08789404307;образование
0;;53;высшее;1;женат / замужем;0;Ж;пенсионер;0;;недвижимость
2;-2087.9012605563516;47;высшее;1;женат / замужем;0;М;компаньон;0;574309.320633827;недвижимость
0;-755.8515956734966;24;среднее;2;Не женат / не замужем;4;Ж;сотрудник;0;88509.64641947235;недвижимость
1;-2718.1598712548275;29;ВЫСШЕЕ;1;женат / замужем;0;М;госслужащий;0;201334.62298833943;недвижимость
0;327970.1239957126;63;среднее;2;женат / замужем;0;Ж;пенсионер;0;42611.8055050594;автомобиль
1;;33;высшее;1;женат / замужем;0;М;госслужащий;0;;недвижимость
0;-1582.9812205432784;41;среднее;2;гражданский брак;1;М;сотрудник;0;95008.43578080452;образование
1;-4957.227397977107;46;среднее;2;женат / замужем;0;Ж;сотрудник;0;78708.49998523622;недвижимость
1;-2864.5573891505946;39;среднее;2;женат / замужем;0;М;сотрудник;1;79477.32005509024;недвижимость
